area_code,time_zone,state,region,utc_offset_std,utc_offset_ds
310,PST,California,"Compton, Santa Monica, Beverly Hills, West LA, Inglewood, Redondo, El Segundo, Culver City, Torrance",-8,-7
312,CST,Illinois,"Chicago (Downtown area), Wheeling",-6,-5
313,EST,Michigan,"Detroit, Livonia, Dearborn",-5,-4
314,CST,Missouri,"Saint Louis, Ladue, Kirkwood, Creve Coeur, Overland, Ferguson",-6,-5
315,EST,New York,"Syracuse, Utica, Watertown, Rome",-5,-4
316,CST,Kansas,"Wichita, Hutchinson",-6,-5
317,EST,Indiana,"Indianapolis, Carmel, Fishers, Greenwood",-5,-4
318,CST,Louisiana,"Shreveport, Monroe, Alexandria, Ruston, Natchitoches",-6,-5
319,CST,Iowa,"Cedar Rapids, Iowa City, Waterloo, Burlington",-6,-5
320,CST,Minnesota,"St. Cloud, Alexandria, Willmar, Little Falls",-6,-5
321,EST,Florida,"Brevard County (Cocoa, Melbourne, Eau Gallie, Titusville), Overlay of most of 407 Area Code.",-5,-4
323,PST,California,"Los Angeles, Montebello",-8,-7
325,CST,Texas,"Albilene, San Angelo, Brownwood, Synder, Swee",-6,-5
330,EST,Ohio,"Akron, Youngstown, Canton, Warren, Kent, Alliance, Medina, New Philadelphia",-5,-4
331,CST,Illinois,Overlay of the 630 area code.,-6,-5
332,EST,New York,Overlay of 212 Area Code.,-5,-4
334*,CST,Alabama,"Montgomery, Dothan, Auburn, Selma, Opelika, Phenix City, Tuskegee *(Area Code crosses into EST time zone)",-6,-5
336,EST,North Carolina,"Greensboro, Winston Salem, Highpoint, Burlington, Lexington, Asheboro, Reidsville",-5,-4
337,CST,Louisiana,"Lake Charles, Lafayette, New Iberia, Leesville, Opelousas, Crowley",-6,-5
339,EST,Massachusetts,Overlay of 781 area code.,-5,-4
346,CST,Texas,"Overlay of 713, 281 and 832 area codes (Houston).",-6,-5
347,EST,New York,"Overlay of 718 Area Code (Bronx, Brooklyn, Queens, Staten Island).",-5,-4
351,EST,Massachusetts,Overlay of 978 area code.,-5,-4
352,EST,Florida,"Gainesville, Ocala, Leesburg, Brookville",-5,-4
360,PST,Washington,"Vancouver, Olympia, Bellingham, Silverdale",-8,-7
361,CST,Texas,"Corpus Christi, Victoria",-6,-5
364*,CST,Kentucky,Overlay of 270 Area Code. *(Area Code crosses into EST time zone),-6,-5
380,EST,Ohio,Overlay of 614 Area Code,-5,-4
385,MST,Utah,Overlay of 801 Area Code.,-7,-6
386,EST,Florida,"Daytona, Deland, Lake City, DeBary, Orange City, New Smyrna Beach, Palatka, Palm Coast",-5,-4
401,EST,Rhode Island,Rhode Island: All regions,-5,-4
402*,CST,Nebraska,"Lincoln, Omaha, Norfolk, Columbus *(Area Code crosses into MST time zone)",-6,-5
404,EST,Georgia,Atlanta,-5,-4
405,CST,Oklahoma,"Oklahoma City, Norman, Stillwater, Britton, Bethany, Moore",-6,-5
406,MST,Montana,Montana: All regions,-7,-6
407,EST,Florida,"Orlando, Winter Park, Kissimmee, Cocoa, Lake Buena Vista, Melbourne",-5,-4
408,PST,California,"San Jose, Sunnyvale, Campbell Los Gatos, Salinas, San Martin, Saratoga, Morgan Hill, Gilroy",-8,-7
409,CST,Texas,"Galveston, Beaumont, Port Arthur, Texas City, Nederland",-6,-5
410,EST,Maryland,"Baltimore, Annapolis, Towson, Catonsville, Glen Burnie",-5,-4
412,EST,Pennsylvania,Pittsburgh,-5,-4
413,EST,Massachusetts,"Springfield, Pittsfield, Holyoke, Amherst",-5,-4
414,CST,Wisconsin,"Milwaukee, Greendale, Franklin, Cudahy, St. Francis, Brown Deer, Whitefish Bay",-6,-5
415,PST,California,San Francisco,-8,-7
417,CST,Missouri,"Joplin, Springfield, Branson, Lebanon",-6,-5
419,EST,Ohio,"Toledo, Lima, Mansfield, Sandusky, Findlay",-5,-4
423*,EST,Tennessee,"Chattanooga, Cleveland, Johnson City, Bristol, Kingsport, Athens, Morristown, Greeneville *(Area Code crosses into CST time zone)",-5,-4
424,PST,California,Overlay of 310 Area Code,-8,-7
425,PST,Washington,"Bothell, Everett, Bellevue, Kirkland, Renton",-8,-7
430,CST,Texas,Overlay of 903 Area Code.,-6,-5
432,CST,Texas,"Midland, Terminal, Odessa, Big Spring, Alpine, Pecos, Fort Stockton",-6,-5
434,EST,Virginia,"Lynchburg, Danville, Charlottesville, Madison Heights, South Boston",-5,-4
435,MST,Utah,"Logan, St. George, Park City, Tooele, Brigham City, Richfield, Moab, Blanding",-7,-6
440,EST,Ohio,"Willoughby, Hillcrest, Trinity, Lorain, Elyria",-5,-4
442,PST,California,Overlay of 760 area code.,-8,-7
443,EST,Maryland,Overlay of 410 Area Code,-5,-4
456,,,Used for premium-rate calling,,
458*,PST,Oregon,Overlay of 541 Area Code. *(Area Code crosses into MST time zone),-8,-7
463,EST,Indiana,Overlay of the 317 Area Code,-5,-4
469,CST,Texas,"Overlay of 214, 972 Area Codes (Greater Dallas Area).",-6,-5
470,EST,Georgia,"Overlay of 404, 678, 770.",-5,-4
475,EST,Connecticut,Overlay of 203 area code.,-5,-4
478,EST,Georgia,"Macon, Warner Robbins, Dublin, Milledgeville, Forsyth",-5,-4
479,CST,Arkansas,"Fort Smith, Fayetteville, Rogers, Bentonville, Russellville",-6,-5
480,MST,Arizona,"Mesa, Scottsdale, Tempe, Chandler, Gilbert",-7,-7
484,EST,Pennsylvania,"Overlay of 610 Area Code (Allentown, Reading, Bethlehem Area)",-5,-4
500,,,Used for Personal Communications Services,,
501,CST,Arkansas,"Little Rock, Hot Springs",-6,-5
502,EST,Kentucky,"Louisville, Frankfort, Fort Knox, Pleasure Ridge Park",-5,-4
